occupation,education,education_years
"School Psychologists","Master's degree",22.0
"Search Marketing Strategists","Bachelor's degree",21.0
"Secondary School Teachers, Except Special and Career/Technical Education","Bachelor's degree",21.0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","High school diploma or equivalent",17.0
"Securities, Commodities, and Financial Services Sales Agents","Bachelor's degree",21.0
"Security Guards","High school diploma or equivalent",17.0
"Security and Fire Alarm Systems Installers","High school diploma or equivalent",17.0
"Segmental Pavers","High school diploma or equivalent",17.0
"Self-Enrichment Teachers","High school diploma or equivalent",17.0
"Semiconductor Processing Technicians","High school diploma or equivalent",17.0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
"Septic Tank Servicers and Sewer Pipe Cleaners","High school diploma or equivalent",17.0
"Service Unit Operators, Oil and Gas","No formal educational credential",14.0
"Set and Exhibit Designers","Bachelor's degree",21.0
"Sewers, Hand","No formal educational credential",14.0
"Sewing Machine Operators","No formal educational credential",14.0
Shampooers,"No formal educational credential",14.0
"Sheet Metal Workers","High school diploma or equivalent",17.0
"Ship Engineers","Postsecondary nondegree award",18.5
"Shipping, Receiving, and Inventory Clerks","High school diploma or equivalent",17.0
"Shoe Machine Operators and Tenders","High school diploma or equivalent",17.0
"Shoe and Leather Workers and Repairers","High school diploma or equivalent",17.0
"Signal and Track Switch Repairers","High school diploma or equivalent",17.0
"Skincare Specialists","Postsecondary nondegree award",18.5
"Slaughterers and Meat Packers","No formal educational credential",14.0
"Social Science Research Assistants","Bachelor's degree",21.0
"Social Work Teachers, Postsecondary","Doctoral or professional degree",22.0
"Social and Community Service Managers","Bachelor's degree",21.0
"Social and Human Service Assistants","High school diploma or equivalent",17.0
Sociologists,"Master's degree",22.0
"Sociology Teachers, Postsecondary","Doctoral or professional degree",22.0
"Software Quality Assurance Analysts and Testers","Bachelor's degree",21.0
"Soil and Plant Scientists","Bachelor's degree",21.0
"Solar Energy Installation Managers","High school diploma or equivalent",17.0
"Solar Energy Systems Engineers","Bachelor's degree",21.0
"Solar Photovoltaic Installers","High school diploma or equivalent",17.0
"Solar Sales Representatives and Assessors","Bachelor's degree",21.0
"Solar Thermal Installers and Technicians","High school diploma or equivalent",17.0
"Sound Engineering Technicians","Postsecondary nondegree award",18.5
"Spa Managers","Postsecondary nondegree award",18.5
"Special Education Teachers, Middle School","Bachelor's degree",21.0
"Special Education Teachers, Preschool","Bachelor's degree",21.0
"Special Education Teachers, Secondary School","Bachelor's degree",21.0
"Special Effects Artists and Animators","Bachelor's degree",21.0
"Speech-Language Pathologists","Master's degree",22.0
"Speech-Language Pathology Assistants","High school diploma or equivalent",17.0
"Sports Medicine Physicians","Doctoral or professional degree",22.0
"Stationary Engineers and Boiler Operators","High school diploma or equivalent",17.0
"Statistical Assistants","Bachelor's degree",21.0
Statisticians,"Master's degree",22.0
"Stockers and Order Fillers","High school diploma or equivalent",17.0
"Stone Cutters and Carvers, Manufacturing","High school diploma or equivalent",17.0
Stonemasons,"High school diploma or equivalent",17.0
"Structural Iron and Steel Workers","High school diploma or equivalent",17.0
"Structural Metal Fabricators and Fitters","High school diploma or equivalent",17.0
"Substance Abuse and Behavioral Disorder Counselors","Master's degree",22.0
"Subway and Streetcar Operators","High school diploma or equivalent",17.0
"Supply Chain Managers","High school diploma or equivalent",17.0
"Surgical Assistants","Postsecondary nondegree award",18.5
"Surgical Technologists","Postsecondary nondegree award",18.5
"Survey Researchers","Master's degree",22.0
"Surveying and Mapping Technicians","High school diploma or equivalent",17.0
Surveyors,"Bachelor's degree",21.0
"Sustainability Specialists","Bachelor's degree",21.0
"Switchboard Operators, Including Answering Service","High school diploma or equivalent",17.0
"Tailors, Dressmakers, and Custom Sewers","No formal educational credential",14.0
"Talent Directors","Bachelor's degree",21.0
"Tank Car, Truck, and Ship Loaders","No formal educational credential",14.0
Tapers,"No formal educational credential",14.0
"Tax Examiners and Collectors, and Revenue Agents","Bachelor's degree",21.0
